"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","9","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo","Test de l'endpoint POST /instrument/{id} avec un libelle d'instrument incorrect [5] libelle = ""abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz""",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","8","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestOk","Test de l'endpoint POST /instrument/{id} avec un libelle d'instrument correct [2] libelle = ""clarinette""",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","16","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentsTest","Test de l'endpoint GET /instruments","Vérification du code retour de l'api lors de la récupération de la liste des instruments"
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","7","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentTestKo","Test de l'endpoint GET /instrument/{id}",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","10","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo","Test de l'endpoint POST /instrument/{id} avec un libelle d'instrument incorrect [4] libelle = ""br""",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","10","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","deleteInstrumentTest","Test de l'endpoint DELETE /instrument/{id}",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","9","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo","Test de l'endpoint POST /instrument/{id} avec un libelle d'instrument incorrect [3] libelle = ""a""",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","9","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestOk","Test de l'endpoint POST /instrument/{id} avec un libelle d'instrument correct [1] libelle = ""tria""",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","14","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestKo","createCoursTestKo()","Test de l'endpoint POST /cours. Avec un cours avec identifiant"
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","12","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestOk","createCoursTestOk()","Test de l'endpoint POST /cours. Avec un cours sans identifiant"
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","21","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo","Test de l'endpoint POST /instrument/{id} avec un libelle d'instrument incorrect [1] libelle = null",""
"passed","Fri Apr 24 08:59:27 UTC 2026","Fri Apr 24 08:59:27 UTC 2026","11","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo","Test de l'endpoint POST /instrument/{id} avec un libelle d'instrument incorrect [2] libelle = """"",""
